time step,collective radius,# of objects collected,agent positions,,,,,,,,,,obstacle positions
200,17.31933159873805,0,"(-1.197301626641502, -4.7742916327942915)","(-1.9187265003300866, -4.151696847052937)","(-1.932641452007164, -3.02822710633302)","(-2.1340319675678145, -1.678640056956752)","(-1.841491603241618, -0.5038959879758249)","(-1.9573989083760654, 0.506054885419236)","(-1.9420391457857693, 1.9964246066589553)","(-2.3454887991987725, 3.100603401681817)","(-1.3697976550889042, 3.7326500430709646)","(2.2547006299323007, 1.1984479135149213)","(0.8573371472330634, -1.7693936756339825)","(0.15096972391082364, -1.4483550068649977)","(2.5929106167266562, -0.5384018368542223)","(0.9429103421577073, 1.5290645484375025)","(2.305500816561891, -1.0754570129102423)","(1.3813069297468905, -0.2259212219682296)","(0.08935179928970205, 1.936986546529925)","(1.7458472890059582, -0.19313417364159324)","(2.4682285813780944, 0.6225110908135032)"
220,12.545510830802117,1,"(-0.963860846641591, -4.867463972240899)","(-1.8901425836866355, -4.198032046867297)","(-1.969724300579807, -2.792092129360793)","(-2.132438391280658, -1.6756158885245886)","(-1.8414991207929567, -0.5040240659148224)","(-1.9560535975439108, 0.5103731895229697)","(-1.8900208317257836, 1.7529638455346335)","(-2.3438955290229213, 3.0997463410164316)","(-1.1239483812540618, 3.7505569028723342)","(2.2547006299323007, 1.1984479135149213)","(0.8573371472330634, -1.7693936756339825)","(0.15096972391082364, -1.4483550068649977)","(2.5929106167266562, -0.5384018368542223)","(0.9429103421577073, 1.5290645484375025)","(2.305500816561891, -1.0754570129102423)","(1.3813069297468905, -0.2259212219682296)","(0.08935179928970205, 1.936986546529925)","(1.7458472890059582, -0.19313417364159324)","(2.4682285813780944, 0.6225110908135032)"
240,10.971536674920628,1,"(-0.9639388873755714, -4.867162804697021)","(-1.8881423688272314, -4.1894532895337635)","(-1.9705586461630364, -2.784264346439993)","(-2.181975047727337, -1.9058683037110309)","(-1.9445054647637103, -0.7293093862576682)","(-1.9471158881849344, 0.7504709719413897)","(-1.8891011797343877, 1.7530809696426437)","(-2.12685193396428, 2.9748995122343436)","(-1.1233808242071777, 3.7507387573367925)","(2.2547006299323007, 1.1984479135149213)","(0.8573371472330634, -1.7693936756339825)","(0.15096972391082364, -1.4483550068649977)","(2.5929106167266562, -0.5384018368542223)","(0.9429103421577073, 1.5290645484375025)","(2.305500816561891, -1.0754570129102423)","(1.3813069297468905, -0.2259212219682296)","(0.08935179928970205, 1.936986546529925)","(1.7458472890059582, -0.19313417364159324)","(2.4682285813780944, 0.6225110908135032)"
260,9.990428857066048,1,"(-1.1210564697174954, -4.679427878449231)","(-1.8896970435688556, -3.948362309787416)","(-1.9702637344636373, -2.7843411564639386)","(-2.183288375011647, -1.9203306749647617)","(-1.9445111735974374, -0.7295229148807875)","(-1.9477803605859518, 0.7502483803270708)","(-1.9000609470923413, 1.5064744654608588)","(-2.1258871221968394, 2.972134117718408)","(-0.927782662732485, 3.59596740298052)","(2.2547006299323007, 1.1984479135149213)","(0.8573371472330634, -1.7693936756339825)","(0.15096972391082364, -1.4483550068649977)","(2.5929106167266562, -0.5384018368542223)","(0.9429103421577073, 1.5290645484375025)","(2.305500816561891, -1.0754570129102423)","(1.3813069297468905, -0.2259212219682296)","(0.08935179928970205, 1.936986546529925)","(1.7458472890059582, -0.19313417364159324)","(2.4682285813780944, 0.6225110908135032)"
280,9.541885348068542,1,"(-1.1250125063664391, -4.675039065246178)","(-1.889926991294883, -3.9487585969451002)","(-1.9688206421724048, -3.031385762534343)","(-2.18505907301246, -1.9113076613221638)","(-1.9786130179590757, -0.48972572689763494)","(-1.9420377367734158, 0.5003782874858362)","(-1.8994369956089305, 1.502903320838493)","(-1.9720464595192855, 2.7864929586337257)","(-0.9270834953714331, 3.5959619449636757)","(2.2547006299323007, 1.1984479135149213)","(0.8573371472330634, -1.7693936756339825)","(0.15096972391082364, -1.4483550068649977)","(2.5929106167266562, -0.5384018368542223)","(0.9429103421577073, 1.5290645484375025)","(2.305500816561891, -1.0754570129102423)","(1.3813069297468905, -0.2259212219682296)","(0.08935179928970205, 1.936986546529925)","(1.7458472890059582, -0.19313417364159324)","(2.4682285813780944, 0.6225110908135032)"
300,9.758255449992435,1,"(-1.1225485330310858, -4.677962404854522)","(-1.7781786678295621, -4.17210072553322)","(-1.968866183043567, -3.0316298333046703)","(-2.241147939870272, -1.677852266145722)","(-1.9793801455628923, -0.48224437268849585)","(-1.9416423191377699, 0.5011429718366925)","(-1.8585442688168963, 1.7374730426323748)","(-1.967499407101779, 2.7800962271537415)","(-1.0486106411200646, 3.3775580524120112)","(2.2547006299323007, 1.1984479135149213)","(0.8573371472330634, -1.7693936756339825)","(0.15096972391082364, -1.4483550068649977)","(2.5929106167266562, -0.5384018368542223)","(0.9429103421577073, 1.5290645484375025)","(2.305500816561891, -1.0754570129102423)","(1.3813069297468905, -0.2259212219682296)","(0.08935179928970205, 1.936986546529925)","(1.7458472890059582, -0.19313417364159324)","(2.4682285813780944, 0.6225110908135032)"
320,8.601959127916361,1,"(-0.9003667962859585, -4.784956156293405)","(-1.777167799650957, -4.17118408353869)","(-1.9922127608079403, -2.7852772186210433)","(-2.2411133084865775, -1.676708608575593)","(-2.0308417230937335, -0.6598756261546302)","(-1.997519722809009, 0.7416956485561244)","(-1.8569649062122064, 1.7497375306772764)","(-1.9617284793243963, 2.7815180245898325)","(-1.0490062395489566, 3.377484692563289)","(2.2547006299323007, 1.1984479135149213)","(0.8573371472330634, -1.7693936756339825)","(0.15096972391082364, -1.4483550068649977)","(2.5929106167266562, -0.5384018368542223)","(0.9429103421577073, 1.5290645484375025)","(2.305500816561891, -1.0754570129102423)","(1.3813069297468905, -0.2259212219682296)","(0.08935179928970205, 1.936986546529925)","(1.7458472890059582, -0.19313417364159324)","(2.4682285813780944, 0.6225110908135032)"
340,8.680112545856892,1,"(-0.9005733855887248, -4.784130060635421)","(-1.7499821312854842, -3.9324954915833534)","(-1.9925476661896329, -2.782975935367686)","(-2.0608991750540215, -1.848557664939727)","(-2.0357842176516145, -0.7241771099145351)","(-1.9979425819294643, 0.7424605635957233)","(-1.8550251191970901, 1.752448602835305)","(-1.769544862155381, 2.932725557728427)","(-1.040976688245408, 3.389879046536408)","(2.2547006299323007, 1.1984479135149213)","(0.8573371472330634, -1.7693936756339825)","(0.15096972391082364, -1.4483550068649977)","(2.5929106167266562, -0.5384018368542223)","(0.9429103421577073, 1.5290645484375025)","(2.305500816561891, -1.0754570129102423)","(1.3813069297468905, -0.2259212219682296)","(0.08935179928970205, 1.936986546529925)","(1.7458472890059582, -0.19313417364159324)","(2.4682285813780944, 0.6225110908135032)"
360,8.881086734641292,1,"(-1.146962729025776, -4.741782823228468)","(-1.749469824160472, -3.921950014525723)","(-1.9298706568715196, -3.0244163502149477)","(-2.060553482033176, -1.849210687180668)","(-2.0306369427389783, -0.7199237000687635)","(-2.0100092398697598, 0.5049585514369711)","(-1.776282153259507, 1.981995099289584)","(-1.769821875053944, 2.93313987563254)","(-0.8059935549553077, 3.437696348485688)","(2.2547006299323007, 1.1984479135149213)","(0.8573371472330634, -1.7693936756339825)","(0.15096972391082364, -1.4483550068649977)","(2.5929106167266562, -0.5384018368542223)","(0.9429103421577073, 1.5290645484375025)","(2.305500816561891, -1.0754570129102423)","(1.3813069297468905, -0.2259212219682296)","(0.08935179928970205, 1.936986546529925)","(1.7458472890059582, -0.19313417364159324)","(2.4682285813780944, 0.6225110908135032)"
380,9.891787544958198,1,"(-1.1469288883219346, -4.741946313057886)","(-1.709649943371299, -3.9489490793695476)","(-1.929643595750624, -3.023268298654649)","(-1.887448673803778, -1.6886548867461701)","(-1.9712861124428538, -0.484290930462926)","(-2.009963862000056, 0.4988689097199163)","(-1.7761768121747423, 1.9828973374832146)","(-1.6991803190249313, 3.17051489322749)","(-0.8029583417803317, 3.4352439988923367)","(2.2547006299323007, 1.1984479135149213)","(0.8573371472330634, -1.7693936756339825)","(0.15096972391082364, -1.4483550068649977)","(2.5929106167266562, -0.5384018368542223)","(0.9429103421577073, 1.5290645484375025)","(2.305500816561891, -1.0754570129102423)","(1.3813069297468905, -0.2259212219682296)","(0.08935179928970205, 1.936986546529925)","(1.7458472890059582, -0.19313417364159324)","(2.4682285813780944, 0.6225110908135032)"
