time step,collective radius,# of objects collected,agent positions,,,,,,,,,,obstacle positions
340,14.069499757955658,1,"(-1.366121807847127, -4.641033614115765)","(-2.0995174325962194, -3.73453913516181)","(-2.439665119315877, -2.933841365024338)","(-1.6858253947533617, -2.097737006902239)","(-1.7701951043608797, -0.9186082442837133)","(-1.70975917179856, 0.5585698012397272)","(-1.517091900532689, 1.6541644531297743)","(-1.5910086488009556, 3.010222916547559)","(-0.7543628487075729, 3.5698429729121033)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
360,11.466750439599272,2,"(-1.3666631046240494, -4.640456964076246)","(-1.8936225677698242, -3.8399264943002707)","(-2.6871360469653705, -2.930698056581402)","(-1.6871249677020308, -2.099072769761706)","(-1.743437261181225, -0.672195922119205)","(-1.7107220583382723, 0.5590641400838663)","(-1.491172360213901, 1.6420411712939844)","(-1.5901885226580281, 3.0098020847420828)","(-0.5143785893577444, 3.6264080090355346)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
380,10.169765758626383,2,"(-1.1547821771779387, -4.771684141883786)","(-1.8758016806635665, -3.8460343381631104)","(-2.6880566333969966, -2.9304328205259718)","(-1.629212202767563, -1.9182047545946017)","(-1.7433294119874874, -0.6707448788608713)","(-1.7163391691510501, 0.3118211466618481)","(-1.49393976553118, 1.6354356131077796)","(-1.46280088439133, 2.794813537918034)","(-0.5140984399364021, 3.6262672252639394)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
400,9.156670258710346,1,"(-1.1539328156033188, -4.772221716311792)","(-1.873747916191861, -3.8416790179886178)","(-2.546306300735431, -2.814953614037656)","(-1.6183522740498508, -1.8620160039577325)","(-1.752017271325622, -0.9152495718789136)","(-1.7164154890891319, 0.3111879848993798)","(-1.5595627471995335, 1.3995080746598219)","(-1.4628080866410222, 2.792093573674152)","(-0.3223856994033327, 3.466400418149139)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
420,8.018070399828158,1,"(-0.9555472436712575, -4.897005206429295)","(-1.633428542668523, -3.7856617806287876)","(-2.494736089124627, -2.7690536515605517)","(-1.6209192804900856, -1.86001058529384)","(-1.75191234675285, -0.9182585548960251)","(-1.6962906886561966, 0.5484515163730312)","(-1.5596687890961674, 1.3980684774296175)","(-1.3042812549195615, 2.61123353120684)","(-0.32191004715815685, 3.466484563776826)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
440,7.439174098290049,1,"(-0.9417634287363834, -4.903751052949813)","(-1.6331748803902708, -3.785704773362835)","(-2.4931036027867575, -2.771690074163216)","(-1.8323657388064458, -1.9849622790777401)","(-1.668222206125984, -0.7104289834922473)","(-1.694934767326762, 0.5605995393935926)","(-1.5186770161637257, 1.6442853790557628)","(-1.2976954342888294, 2.604990179770865)","(-0.35426772252292604, 3.219280660187839)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
460,7.63351775078713,1,"(-0.9389630564101339, -4.906143329382389)","(-1.4348697749852823, -3.93589267846863)","(-2.393488049027693, -2.998205982401229)","(-1.832528452431542, -1.9853770028886983)","(-1.66100547846115, -0.6855594927611206)","(-1.6950075554606732, 0.32399933351325155)","(-1.5185515320053176, 1.6436944180437878)","(-1.259440989651123, 2.6391370381802606)","(-0.3544498404092211, 3.2186344337770882)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
480,7.1783780306533105,2,"(-0.6980678241438922, -4.9598391763852145)","(-1.4346213600241688, -3.9361609157054858)","(-2.393509713577849, -2.997132328939934)","(-1.8562364582676996, -1.7387342642996622)","(-1.6643579508824853, -0.6817285657468461)","(-1.69367185121193, 0.31404267934993446)","(-1.286941804527236, 1.7101574011036325)","(-1.204308177453167, 2.8367059649894233)","(-0.2564504600512749, 3.2722390242364887)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
500,6.84951291784328,2,"(-0.6980705820739908, -4.95849809552303)","(-1.293923001519874, -3.7313046884281187)","(-2.1505417221073655, -2.93748068669602)","(-1.8564496858035362, -1.7361839060301087)","(-1.7499091431292497, -0.4524769486077802)","(-1.6135416278935732, 0.535849717004216)","(-1.2787128408449822, 1.7152068080615919)","(-1.1992406854889037, 2.8342091652809605)","(-0.11629912203761772, 3.293812866840265)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
520,6.517513725993132,2,"(-0.8578392216340811, -4.76875926553636)","(-1.2937941263446526, -3.7295005405890334)","(-2.150430360116044, -2.937258489353053)","(-2.0680069462079054, -1.6381392681915137)","(-1.7505279390080846, -0.451932525582721)","(-1.6055802872973457, 0.5478804890325836)","(-1.2896769589138803, 1.7047770873886177)","(-0.982468449712717, 2.7213706894545826)","(-0.11361931985959761, 3.2963283816269158)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
